Apr. 16, 2022   13:14:53
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.2
Final E (V) = -0.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4
2nd E (V) = 0.5
Sens 2 (A/V) = 1e-4


Current 2:


Potential/V, i1/A, i2/A
-0.422, -7.991e-4, 2.775e-5
-0.423, -7.804e-4, 2.779e-5
-0.424, -7.881e-4, 2.794e-5
-0.425, -7.847e-4, 2.800e-5
-0.426, -7.786e-4, 2.808e-5
-0.427, -7.738e-4, 2.821e-5
-0.428, -7.685e-4, 2.830e-5
-0.429, -7.706e-4, 2.840e-5
-0.430, -7.702e-4, 2.843e-5
-0.431, -7.690e-4, 2.853e-5
-0.432, -7.747e-4, 2.861e-5
-0.433, -7.786e-4, 2.869e-5
-0.434, -7.840e-4, 2.876e-5
-0.435, -7.829e-4, 2.885e-5
-0.436, -7.825e-4, 2.896e-5
-0.437, -7.742e-4, 2.900e-5
-0.438, -7.693e-4, 2.915e-5
-0.439, -7.692e-4, 2.920e-5
-0.440, -7.661e-4, 2.926e-5
-0.441, -7.644e-4, 2.934e-5
-0.442, -7.707e-4, 2.942e-5
-0.443, -7.723e-4, 2.953e-5
-0.444, -7.855e-4, 2.955e-5
-0.445, -7.831e-4, 2.965e-5
-0.446, -7.843e-4, 2.975e-5
-0.447, -7.894e-4, 2.989e-5
-0.448, -7.804e-4, 2.996e-5
-0.449, -7.809e-4, 3.018e-5
-0.450, -7.862e-4, 3.015e-5
-0.451, -7.852e-4, 3.027e-5
-0.452, -7.722e-4, 3.025e-5
-0.453, -7.805e-4, 3.037e-5
-0.454, -7.863e-4, 3.047e-5
-0.455, -7.913e-4, 3.058e-5
-0.456, -7.836e-4, 3.066e-5
-0.457, -7.874e-4, 3.082e-5
-0.458, -7.878e-4, 3.093e-5
-0.459, -7.869e-4, 3.097e-5
-0.460, -7.934e-4, 3.103e-5
-0.461, -7.843e-4, 3.115e-5
-0.462, -7.954e-4, 3.130e-5
-0.463, -7.802e-4, 3.128e-5
-0.464, -7.882e-4, 3.140e-5
-0.465, -8.101e-4, 3.150e-5
-0.466, -7.961e-4, 3.153e-5
-0.467, -7.687e-4, 3.166e-5
-0.468, -7.737e-4, 3.170e-5
-0.469, -7.798e-4, 3.179e-5
-0.470, -7.785e-4, 3.189e-5
-0.471, -7.866e-4, 3.198e-5
-0.472, -7.847e-4, 3.201e-5
-0.473, -7.880e-4, 3.205e-5
-0.474, -7.748e-4, 3.215e-5
-0.475, -7.701e-4, 3.222e-5
-0.476, -7.762e-4, 3.230e-5
-0.477, -7.780e-4, 3.239e-5
-0.478, -7.736e-4, 3.245e-5
-0.479, -7.769e-4, 3.252e-5
-0.480, -7.853e-4, 3.265e-5
-0.481, -7.956e-4, 3.268e-5
-0.482, -7.950e-4, 3.274e-5
-0.483, -7.966e-4, 3.281e-5
-0.484, -7.909e-4, 3.285e-5
-0.485, -7.914e-4, 3.295e-5
-0.486, -7.965e-4, 3.299e-5
-0.487, -7.966e-4, 3.311e-5
-0.488, -7.847e-4, 3.312e-5
-0.489, -7.844e-4, 3.324e-5
-0.490, -7.803e-4, 3.318e-5
-0.491, -7.809e-4, 3.339e-5
-0.492, -8.154e-4, 3.347e-5
-0.493, -8.009e-4, 3.352e-5
-0.494, -7.706e-4, 3.355e-5
-0.495, -7.773e-4, 3.368e-5
-0.496, -7.880e-4, 3.375e-5
-0.497, -7.830e-4, 3.372e-5
-0.498, -7.759e-4, 3.377e-5
-0.499, -7.748e-4, 3.377e-5
-0.500, -7.705e-4, 3.380e-5
-0.501, -7.740e-4, 3.396e-5
-0.502, -7.828e-4, 3.400e-5
-0.503, -7.809e-4, 3.406e-5
-0.504, -7.941e-4, 3.417e-5
-0.505, -7.855e-4, 3.411e-5
-0.506, -7.719e-4, 3.421e-5
-0.507, -7.690e-4, 3.419e-5
-0.508, -7.724e-4, 3.429e-5
-0.509, -7.915e-4, 3.433e-5
-0.510, -7.933e-4, 3.440e-5
-0.511, -7.851e-4, 3.446e-5
-0.512, -7.912e-4, 3.454e-5
-0.513, -7.944e-4, 3.450e-5
-0.514, -7.910e-4, 3.456e-5
-0.515, -7.789e-4, 3.462e-5
-0.516, -7.864e-4, 3.475e-5
-0.517, -7.792e-4, 3.479e-5
-0.518, -7.771e-4, 3.486e-5
-0.519, -7.833e-4, 3.489e-5
-0.520, -7.896e-4, 3.495e-5
-0.521, -8.039e-4, 3.501e-5
-0.522, -8.000e-4, 3.504e-5
-0.523, -8.019e-4, 3.505e-5
-0.524, -7.807e-4, 3.508e-5
-0.525, -7.811e-4, 3.510e-5
-0.526, -7.901e-4, 3.521e-5
-0.527, -7.877e-4, 3.516e-5
-0.528, -7.840e-4, 3.521e-5
-0.529, -7.939e-4, 3.531e-5
-0.530, -7.945e-4, 3.532e-5
-0.531, -7.810e-4, 3.546e-5
-0.532, -7.870e-4, 3.551e-5
-0.533, -7.989e-4, 3.548e-5
-0.534, -7.838e-4, 3.558e-5
-0.535, -7.862e-4, 3.554e-5
-0.536, -7.896e-4, 3.562e-5
-0.537, -7.920e-4, 3.569e-5
-0.538, -8.018e-4, 3.567e-5
-0.539, -8.003e-4, 3.575e-5
-0.540, -8.020e-4, 3.571e-5
-0.541, -8.054e-4, 3.576e-5
-0.542, -8.027e-4, 3.584e-5
-0.543, -8.021e-4, 3.586e-5
-0.544, -8.037e-4, 3.594e-5
-0.545, -8.060e-4, 3.599e-5
-0.546, -7.980e-4, 3.597e-5
-0.547, -7.996e-4, 3.602e-5
-0.548, -7.952e-4, 3.606e-5
-0.549, -7.916e-4, 3.609e-5
-0.550, -8.014e-4, 3.613e-5
-0.551, -8.090e-4, 3.617e-5
-0.552, -8.074e-4, 3.624e-5
-0.553, -8.196e-4, 3.630e-5
-0.554, -7.857e-4, 3.627e-5
-0.555, -7.859e-4, 3.627e-5
-0.556, -7.823e-4, 3.627e-5
-0.557, -7.916e-4, 3.634e-5
-0.558, -7.910e-4, 3.637e-5
-0.559, -7.949e-4, 3.641e-5
-0.560, -8.024e-4, 3.634e-5
-0.561, -8.108e-4, 3.646e-5
-0.562, -8.022e-4, 3.638e-5
-0.563, -7.878e-4, 3.647e-5
-0.564, -7.992e-4, 3.643e-5
-0.565, -8.055e-4, 3.642e-5
-0.566, -7.910e-4, 3.650e-5
-0.567, -7.896e-4, 3.659e-5
-0.568, -7.973e-4, 3.652e-5
-0.569, -7.953e-4, 3.653e-5
-0.570, -7.996e-4, 3.661e-5
-0.571, -8.056e-4, 3.666e-5
-0.572, -8.004e-4, 3.665e-5
-0.573, -7.981e-4, 3.668e-5
-0.574, -8.057e-4, 3.663e-5
-0.575, -8.061e-4, 3.669e-5
-0.576, -8.062e-4, 3.669e-5
-0.577, -7.928e-4, 3.669e-5
-0.578, -8.040e-4, 3.675e-5
-0.579, -8.060e-4, 3.665e-5
-0.580, -8.202e-4, 3.671e-5
-0.581, -8.057e-4, 3.666e-5
-0.582, -7.994e-4, 3.680e-5
-0.583, -8.086e-4, 3.684e-5
-0.584, -7.852e-4, 3.686e-5
-0.585, -7.886e-4, 3.683e-5
-0.586, -7.930e-4, 3.677e-5
-0.587, -7.911e-4, 3.681e-5
-0.588, -7.989e-4, 3.684e-5
-0.589, -8.024e-4, 3.685e-5
-0.590, -7.986e-4, 3.694e-5
-0.591, -8.076e-4, 3.693e-5
-0.592, -8.090e-4, 3.693e-5
-0.593, -8.013e-4, 3.685e-5
-0.594, -8.133e-4, 3.694e-5
-0.595, -8.094e-4, 3.699e-5
-0.596, -8.029e-4, 3.693e-5
-0.597, -8.174e-4, 3.685e-5
-0.598, -8.125e-4, 3.678e-5
-0.599, -8.060e-4, 3.684e-5
-0.600, -8.055e-4, 3.688e-5
-0.601, -8.136e-4, 3.699e-5
-0.602, -7.915e-4, 3.707e-5
-0.603, -7.992e-4, 3.704e-5
-0.604, -8.000e-4, 3.701e-5
-0.605, -8.066e-4, 3.703e-5
-0.606, -8.025e-4, 3.712e-5
-0.607, -7.992e-4, 3.708e-5
-0.608, -7.908e-4, 3.709e-5
-0.609, -7.991e-4, 3.706e-5
-0.610, -8.099e-4, 3.699e-5
-0.611, -8.179e-4, 3.710e-5
-0.612, -8.157e-4, 3.706e-5
-0.613, -8.128e-4, 3.707e-5
-0.614, -8.165e-4, 3.711e-5
-0.615, -8.075e-4, 3.709e-5
-0.616, -8.065e-4, 3.718e-5
-0.617, -8.117e-4, 3.712e-5
-0.618, -8.069e-4, 3.720e-5
-0.619, -8.222e-4, 3.719e-5
-0.620, -8.161e-4, 3.714e-5
-0.621, -8.095e-4, 3.719e-5
-0.622, -8.113e-4, 3.716e-5
-0.623, -8.217e-4, 3.718e-5
-0.624, -8.189e-4, 3.721e-5
-0.625, -8.145e-4, 3.719e-5
-0.626, -8.215e-4, 3.729e-5
-0.627, -8.235e-4, 3.737e-5
-0.628, -8.187e-4, 3.739e-5
-0.629, -8.184e-4, 3.739e-5
-0.630, -8.178e-4, 3.731e-5
-0.631, -8.187e-4, 3.730e-5
-0.632, -8.190e-4, 3.737e-5
-0.633, -8.157e-4, 3.740e-5
-0.634, -8.014e-4, 3.737e-5
-0.635, -8.034e-4, 3.740e-5
-0.636, -8.106e-4, 3.739e-5
-0.637, -8.067e-4, 3.739e-5
-0.638, -8.159e-4, 3.744e-5
-0.639, -8.261e-4, 3.750e-5
-0.640, -8.211e-4, 3.744e-5
-0.641, -8.138e-4, 3.749e-5
-0.642, -8.066e-4, 3.747e-5
-0.643, -8.143e-4, 3.752e-5
-0.644, -8.176e-4, 3.746e-5
-0.645, -8.111e-4, 3.748e-5
-0.646, -8.084e-4, 3.748e-5
-0.647, -8.150e-4, 3.752e-5
-0.648, -8.177e-4, 3.749e-5
-0.649, -8.144e-4, 3.752e-5
-0.650, -8.112e-4, 3.756e-5
-0.651, -8.315e-4, 3.755e-5
-0.652, -8.067e-4, 3.754e-5
-0.653, -8.202e-4, 3.754e-5
-0.654, -8.095e-4, 3.756e-5
-0.655, -8.098e-4, 3.762e-5
-0.656, -8.219e-4, 3.766e-5
-0.657, -8.264e-4, 3.773e-5
-0.658, -8.150e-4, 3.766e-5
-0.659, -8.257e-4, 3.766e-5
-0.660, -8.247e-4, 3.769e-5
-0.661, -8.236e-4, 3.764e-5
-0.662, -8.137e-4, 3.762e-5
-0.663, -8.270e-4, 3.760e-5
-0.664, -8.294e-4, 3.771e-5
-0.665, -8.124e-4, 3.765e-5
-0.666, -8.122e-4, 3.771e-5
-0.667, -8.207e-4, 3.778e-5
-0.668, -8.156e-4, 3.769e-5
-0.669, -8.208e-4, 3.774e-5
-0.670, -8.183e-4, 3.778e-5
-0.671, -8.321e-4, 3.778e-5
-0.672, -8.198e-4, 3.789e-5
-0.673, -8.196e-4, 3.776e-5
-0.674, -8.187e-4, 3.778e-5
-0.675, -8.070e-4, 3.780e-5
-0.676, -8.188e-4, 3.783e-5
-0.677, -8.211e-4, 3.786e-5
-0.678, -8.174e-4, 3.790e-5
-0.679, -8.174e-4, 3.794e-5
-0.680, -8.229e-4, 3.797e-5
-0.681, -8.135e-4, 3.791e-5
-0.682, -8.158e-4, 3.785e-5
-0.683, -8.372e-4, 3.802e-5
-0.684, -8.530e-4, 3.801e-5
-0.685, -8.192e-4, 3.789e-5
-0.686, -8.093e-4, 3.795e-5
-0.687, -8.134e-4, 3.795e-5
-0.688, -8.162e-4, 3.799e-5
-0.689, -8.183e-4, 3.797e-5
-0.690, -8.138e-4, 3.786e-5
-0.691, -8.245e-4, 3.797e-5
-0.692, -8.447e-4, 3.807e-5
-0.693, -8.274e-4, 3.809e-5
-0.694, -8.194e-4, 3.813e-5
-0.695, -8.231e-4, 3.815e-5
-0.696, -8.288e-4, 3.813e-5
-0.697, -8.364e-4, 3.818e-5
-0.698, -8.475e-4, 3.824e-5
-0.699, -8.302e-4, 3.811e-5
-0.700, -8.112e-4, 3.814e-5
-0.701, -8.098e-4, 3.822e-5
-0.702, -8.226e-4, 3.827e-5
-0.703, -8.296e-4, 3.821e-5
-0.704, -8.330e-4, 3.824e-5
-0.705, -8.210e-4, 3.826e-5
-0.706, -8.225e-4, 3.832e-5
-0.707, -8.209e-4, 3.818e-5
-0.708, -8.271e-4, 3.825e-5
-0.709, -8.360e-4, 3.827e-5
-0.710, -8.226e-4, 3.831e-5
-0.711, -8.213e-4, 3.836e-5
-0.712, -8.262e-4, 3.845e-5
-0.713, -8.385e-4, 3.845e-5
-0.714, -8.353e-4, 3.849e-5
-0.715, -8.311e-4, 3.853e-5
-0.716, -8.180e-4, 3.845e-5
-0.717, -8.265e-4, 3.848e-5
-0.718, -8.426e-4, 3.849e-5
-0.719, -8.506e-4, 3.854e-5
-0.720, -8.588e-4, 3.855e-5
-0.721, -8.188e-4, 3.854e-5
-0.722, -8.067e-4, 3.850e-5
-0.723, -8.047e-4, 3.857e-5
-0.724, -8.107e-4, 3.861e-5
-0.725, -8.324e-4, 3.864e-5
-0.726, -8.340e-4, 3.865e-5
-0.727, -8.275e-4, 3.863e-5
-0.728, -8.339e-4, 3.868e-5
-0.729, -8.500e-4, 3.877e-5
-0.730, -8.546e-4, 3.873e-5
-0.731, -8.398e-4, 3.860e-5
-0.732, -8.471e-4, 3.866e-5
-0.733, -8.608e-4, 3.863e-5
-0.734, -8.307e-4, 3.864e-5
-0.735, -8.284e-4, 3.863e-5
-0.736, -8.222e-4, 3.865e-5
-0.737, -8.238e-4, 3.867e-5
-0.738, -8.303e-4, 3.875e-5
-0.739, -8.378e-4, 3.875e-5
-0.740, -8.387e-4, 3.877e-5
-0.741, -8.393e-4, 3.879e-5
-0.742, -8.325e-4, 3.880e-5
-0.743, -8.322e-4, 3.885e-5
-0.744, -8.332e-4, 3.891e-5
-0.745, -8.340e-4, 3.885e-5
-0.746, -8.390e-4, 3.886e-5
-0.747, -8.377e-4, 3.892e-5
-0.748, -8.427e-4, 3.895e-5
-0.749, -8.345e-4, 3.893e-5
-0.750, -8.282e-4, 3.898e-5
-0.751, -8.327e-4, 3.897e-5
-0.752, -8.320e-4, 3.899e-5
-0.753, -8.407e-4, 3.908e-5
-0.754, -8.527e-4, 3.906e-5
-0.755, -8.448e-4, 3.905e-5
-0.756, -8.640e-4, 3.904e-5
-0.757, -8.523e-4, 3.911e-5
-0.758, -8.416e-4, 3.924e-5
-0.759, -8.542e-4, 3.916e-5
-0.760, -8.265e-4, 3.904e-5
-0.761, -8.284e-4, 3.908e-5
-0.762, -8.318e-4, 3.919e-5
-0.763, -8.341e-4, 3.917e-5
-0.764, -8.414e-4, 3.925e-5
-0.765, -8.521e-4, 3.925e-5
-0.766, -8.508e-4, 3.922e-5
-0.767, -8.394e-4, 3.925e-5
-0.768, -8.411e-4, 3.929e-5
-0.769, -8.453e-4, 3.937e-5
-0.770, -8.436e-4, 3.936e-5
-0.771, -8.569e-4, 3.939e-5
-0.772, -8.480e-4, 3.935e-5
-0.773, -8.396e-4, 3.938e-5
-0.774, -8.481e-4, 3.943e-5
-0.775, -8.545e-4, 3.946e-5
-0.776, -8.479e-4, 3.943e-5
-0.777, -8.420e-4, 3.948e-5
-0.778, -8.570e-4, 3.954e-5
-0.779, -8.571e-4, 3.960e-5
-0.780, -8.535e-4, 3.943e-5
-0.781, -8.426e-4, 3.951e-5
-0.782, -8.465e-4, 3.949e-5
-0.783, -8.457e-4, 3.957e-5
-0.784, -8.552e-4, 3.971e-5
-0.785, -8.597e-4, 3.967e-5
-0.786, -8.609e-4, 3.971e-5
-0.787, -8.621e-4, 3.966e-5
-0.788, -8.404e-4, 3.954e-5
-0.789, -8.378e-4, 3.958e-5
-0.790, -8.479e-4, 3.965e-5
-0.791, -8.522e-4, 3.974e-5
-0.792, -8.521e-4, 3.966e-5
-0.793, -8.330e-4, 3.964e-5
-0.794, -8.392e-4, 3.968e-5
-0.795, -8.524e-4, 3.974e-5
-0.796, -8.560e-4, 3.980e-5
-0.797, -8.533e-4, 3.974e-5
-0.798, -8.644e-4, 3.979e-5
-0.799, -8.439e-4, 3.971e-5
