Apr. 16, 2022   13:14:53
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.2
Final E (V) = -0.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4
2nd E (V) = 0.5
Sens 2 (A/V) = 1e-4


Current 2:


Potential/V, i1/A, i2/A
0.051, -5.526e-5, 1.125e-6
0.050, -5.481e-5, 1.119e-6
0.049, -5.484e-5, 1.119e-6
0.048, -5.547e-5, 1.121e-6
0.047, -5.520e-5, 1.115e-6
0.046, -5.576e-5, 1.120e-6
0.045, -5.602e-5, 1.118e-6
0.044, -5.587e-5, 1.118e-6
0.043, -5.669e-5, 1.113e-6
0.042, -5.729e-5, 1.117e-6
0.041, -5.756e-5, 1.117e-6
0.040, -5.818e-5, 1.114e-6
0.039, -5.813e-5, 1.112e-6
0.038, -5.718e-5, 1.106e-6
0.037, -5.732e-5, 1.106e-6
0.036, -5.845e-5, 1.109e-6
0.035, -5.852e-5, 1.104e-6
0.034, -5.952e-5, 1.109e-6
0.033, -5.954e-5, 1.101e-6
0.032, -5.905e-5, 1.101e-6
0.031, -5.925e-5, 1.101e-6
0.030, -5.886e-5, 1.101e-6
0.029, -5.872e-5, 1.101e-6
0.028, -5.919e-5, 1.104e-6
0.027, -5.942e-5, 1.101e-6
0.026, -5.969e-5, 1.101e-6
0.025, -6.024e-5, 1.098e-6
0.024, -5.992e-5, 1.097e-6
0.023, -6.047e-5, 1.095e-6
0.022, -6.050e-5, 1.088e-6
0.021, -6.120e-5, 1.096e-6
0.020, -6.124e-5, 1.094e-6
0.019, -6.150e-5, 1.092e-6
0.018, -6.133e-5, 1.093e-6
0.017, -6.164e-5, 1.088e-6
0.016, -6.177e-5, 1.086e-6
0.015, -6.175e-5, 1.087e-6
0.014, -6.205e-5, 1.090e-6
0.013, -6.321e-5, 1.083e-6
0.012, -6.218e-5, 1.086e-6
0.011, -6.257e-5, 1.085e-6
0.010, -6.228e-5, 1.085e-6
0.009, -6.234e-5, 1.084e-6
0.008, -6.256e-5, 1.085e-6
0.007, -6.215e-5, 1.084e-6
0.006, -6.298e-5, 1.080e-6
0.005, -6.242e-5, 1.083e-6
0.004, -6.285e-5, 1.083e-6
0.003, -6.397e-5, 1.080e-6
0.002, -6.454e-5, 1.074e-6
0.001, -6.512e-5, 1.079e-6
0.000, -6.418e-5, 1.072e-6
-0.001, -6.411e-5, 1.072e-6
-0.002, -6.356e-5, 1.067e-6
-0.003, -6.363e-5, 1.071e-6
-0.004, -6.449e-5, 1.069e-6
-0.005, -6.448e-5, 1.068e-6
-0.006, -6.472e-5, 1.065e-6
-0.007, -6.404e-5, 1.063e-6
-0.008, -6.488e-5, 1.065e-6
-0.009, -6.566e-5, 1.066e-6
-0.010, -6.550e-5, 1.065e-6
-0.011, -6.602e-5, 1.063e-6
-0.012, -6.586e-5, 1.063e-6
-0.013, -6.614e-5, 1.059e-6
-0.014, -6.691e-5, 1.063e-6
-0.015, -6.711e-5, 1.056e-6
-0.016, -6.693e-5, 1.057e-6
-0.017, -6.760e-5, 1.057e-6
-0.018, -6.846e-5, 1.058e-6
-0.019, -6.869e-5, 1.057e-6
-0.020, -6.885e-5, 1.058e-6
-0.021, -6.837e-5, 1.055e-6
-0.022, -6.821e-5, 1.054e-6
-0.023, -6.828e-5, 1.055e-6
-0.024, -6.783e-5, 1.057e-6
-0.025, -6.886e-5, 1.052e-6
-0.026, -6.912e-5, 1.051e-6
-0.027, -6.884e-5, 1.051e-6
-0.028, -6.835e-5, 1.053e-6
-0.029, -6.862e-5, 1.049e-6
-0.030, -6.946e-5, 1.049e-6
-0.031, -6.961e-5, 1.050e-6
-0.032, -7.003e-5, 1.050e-6
-0.033, -6.986e-5, 1.051e-6
-0.034, -7.058e-5, 1.050e-6
-0.035, -7.077e-5, 1.048e-6
-0.036, -7.184e-5, 1.050e-6
-0.037, -7.151e-5, 1.046e-6
-0.038, -7.183e-5, 1.049e-6
-0.039, -7.145e-5, 1.040e-6
-0.040, -7.167e-5, 1.046e-6
-0.041, -7.236e-5, 1.048e-6
-0.042, -7.272e-5, 1.045e-6
-0.043, -7.320e-5, 1.046e-6
-0.044, -7.353e-5, 1.044e-6
-0.045, -7.359e-5, 1.045e-6
-0.046, -7.445e-5, 1.044e-6
-0.047, -7.451e-5, 1.042e-6
-0.048, -7.564e-5, 1.045e-6
-0.049, -7.534e-5, 1.042e-6
-0.050, -7.535e-5, 1.049e-6
-0.051, -7.603e-5, 1.048e-6
-0.052, -7.694e-5, 1.046e-6
-0.053, -7.712e-5, 1.048e-6
-0.054, -7.800e-5, 1.050e-6
-0.055, -7.850e-5, 1.047e-6
-0.056, -7.978e-5, 1.045e-6
-0.057, -7.887e-5, 1.047e-6
-0.058, -7.937e-5, 1.047e-6
-0.059, -8.042e-5, 1.046e-6
-0.060, -8.106e-5, 1.053e-6
-0.061, -8.110e-5, 1.056e-6
-0.062, -8.228e-5, 1.057e-6
-0.063, -8.348e-5, 1.055e-6
-0.064, -8.405e-5, 1.058e-6
-0.065, -8.491e-5, 1.058e-6
-0.066, -8.502e-5, 1.062e-6
-0.067, -8.493e-5, 1.063e-6
-0.068, -8.579e-5, 1.067e-6
-0.069, -8.741e-5, 1.065e-6
-0.070, -8.839e-5, 1.071e-6
-0.071, -8.750e-5, 1.071e-6
-0.072, -8.804e-5, 1.074e-6
-0.073, -9.008e-5, 1.077e-6
-0.074, -9.157e-5, 1.080e-6
-0.075, -9.271e-5, 1.080e-6
-0.076, -9.379e-5, 1.088e-6
-0.077, -9.682e-5, 1.091e-6
-0.078, -9.740e-5, 1.095e-6
-0.079, -9.796e-5, 1.092e-6
-0.080, -9.961e-5, 1.103e-6
-0.081, -1.002e-4, 1.102e-6
-0.082, -1.011e-4, 1.106e-6
-0.083, -1.026e-4, 1.118e-6
-0.084, -1.033e-4, 1.122e-6
-0.085, -1.056e-4, 1.128e-6
-0.086, -1.082e-4, 1.137e-6
-0.087, -1.113e-4, 1.139e-6
-0.088, -1.112e-4, 1.148e-6
-0.089, -1.118e-4, 1.155e-6
-0.090, -1.131e-4, 1.166e-6
-0.091, -1.154e-4, 1.173e-6
-0.092, -1.186e-4, 1.182e-6
-0.093, -1.211e-4, 1.189e-6
-0.094, -1.224e-4, 1.199e-6
-0.095, -1.265e-4, 1.211e-6
-0.096, -1.278e-4, 1.220e-6
-0.097, -1.315e-4, 1.236e-6
-0.098, -1.342e-4, 1.240e-6
-0.099, -1.358e-4, 1.253e-6
-0.100, -1.347e-4, 1.268e-6
-0.101, -1.379e-4, 1.281e-6
-0.102, -1.398e-4, 1.289e-6
-0.103, -1.431e-4, 1.309e-6
-0.104, -1.457e-4, 1.319e-6
-0.105, -1.480e-4, 1.333e-6
-0.106, -1.513e-4, 1.349e-6
-0.107, -1.541e-4, 1.361e-6
-0.108, -1.564e-4, 1.377e-6
-0.109, -1.615e-4, 1.392e-6
-0.110, -1.649e-4, 1.407e-6
-0.111, -1.677e-4, 1.424e-6
-0.112, -1.714e-4, 1.442e-6
-0.113, -1.741e-4, 1.452e-6
-0.114, -1.784e-4, 1.484e-6
-0.115, -1.850e-4, 1.508e-6
-0.116, -1.861e-4, 1.526e-6
-0.117, -1.890e-4, 1.542e-6
-0.118, -1.915e-4, 1.568e-6
-0.119, -1.964e-4, 1.589e-6
-0.120, -2.009e-4, 1.612e-6
-0.121, -2.037e-4, 1.636e-6
-0.122, -2.064e-4, 1.655e-6
-0.123, -2.105e-4, 1.677e-6
-0.124, -2.137e-4, 1.703e-6
-0.125, -2.183e-4, 1.738e-6
-0.126, -2.239e-4, 1.758e-6
-0.127, -2.291e-4, 1.784e-6
-0.128, -2.332e-4, 1.818e-6
-0.129, -2.390e-4, 1.849e-6
-0.130, -2.454e-4, 1.877e-6
-0.131, -2.480e-4, 1.901e-6
-0.132, -2.468e-4, 1.926e-6
-0.133, -2.482e-4, 1.962e-6
-0.134, -2.524e-4, 1.992e-6
-0.135, -2.567e-4, 2.009e-6
-0.136, -2.613e-4, 2.041e-6
-0.137, -2.694e-4, 2.065e-6
-0.138, -2.721e-4, 2.092e-6
-0.139, -2.769e-4, 2.125e-6
-0.140, -2.791e-4, 2.163e-6
-0.141, -2.864e-4, 2.191e-6
-0.142, -2.911e-4, 2.235e-6
-0.143, -2.971e-4, 2.273e-6
-0.144, -3.031e-4, 2.296e-6
-0.145, -3.109e-4, 2.358e-6
-0.146, -3.150e-4, 2.396e-6
-0.147, -3.189e-4, 2.440e-6
-0.148, -3.195e-4, 2.471e-6
-0.149, -3.238e-4, 2.511e-6
-0.150, -3.300e-4, 2.533e-6
-0.151, -3.317e-4, 2.584e-6
-0.152, -3.397e-4, 2.621e-6
